id,created_at,title,description,image_url,price,category_id,discount,shop_id
11,2024-11-28 14:05:00+00,Feathered Catnip Mouse Toy,"A combination of feathers, catnip, and crinkly material to stimulate your cat's senses and provide endless entertainment.",https://i.imgur.com/dIqo03c.jpeg,6.99,3,1,1
12,2025-01-10 07:22:45+00,Reversible Waterproof Dog Blanket,"A versatile and waterproof blanket for your pup. One side is cozy fleece for warmth, while the other side is waterproof for outdoor use.",https://i.imgur.com/HxuHwBO.jpeg,18.99,4,2.2,1
13,2025-03-18 19:50:30+00,Whimsical Wordplay Tee,"T-shirt with playful puns and clever wordplay, adding a touch of humor to your wardrobe.",https://i.imgur.com/KXj6Tpb.jpeg,19.99,5,2.5,2
14,2025-05-25 23:15:15+00,Retro Pixel Explosion Shirt,"Channel the nostalgia with this retro pixel art-inspired tee, perfect for gamers and 8-bit enthusiasts.",https://i.imgur.com/kc0Dj9S.jpg,24.99,6,3,2
15,2025-07-08 13:40:00+00,Explore More Adventure Tee,Encourage a spirit of adventure with this tee featuring an inspiring exploration-themed design.,https://i.imgur.com/isQAliJ.jpeg,21.99,7,2,2
16,2023-04-08 15:25:30+00,Dystopian Visionary Shirt,"Make a statement with this dystopian-themed tee, reflecting speculative and unsettling visions of possible futures.",https://i.imgur.com/YaSqa06.jpeg,29.99,8,4,2
17,2023-06-15 09:40:15+00,Whacky Wildlife Illustration Tee,Express your love for wildlife with this whimsical tee featuring playful and quirky animal illustrations.,https://i.imgur.com/OKn1KFI.jpeg,18.99,5,1.8,2
18,2023-08-22 07:20:45+00,8-Bit Dreamer Graphic Tee,"Dream in pixels with this 8-bit graphic tee, combining nostalgia with a touch of modern flair.",https://i.imgur.com/LGk9Jn2.jpeg,22.99,6,2.2,2
19,2023-10-10 12:32:00+00,Lost in the Cosmos Space Tee,"Embark on a cosmic journey with this space-themed tee, perfect for those with a love for the unknown.",https://i.imgur.com/mcW42Gi.jpeg,27.99,7,3.5,2
20,2023-12-05 18:10:30+00,Dystopia Unleashed Graphic Shirt,"Unleash the dystopian vibes with this graphic tee, showcasing a blend of futuristic and unsettling elements.",https://i.imgur.com/m2owtQG.jpeg,32.99,8,5,2
21,2024-02-12 20:45:15+00,Clever Cats Wordplay Tee,"For cat lovers who appreciate clever wordplay, this tee features adorable feline-inspired puns.",https://i.imgur.com/yb9UQKL.jpeg,16.99,5,1.5,2
22,2024-04-18 11:30:00+00,Pixel Pop Art Explosion Tee,"Pop into pixelated style with this vibrant tee, combining pop art aesthetics with retro pixel inspiration.",https://i.imgur.com/cQeXQMi.jpeg,23.99,6,2.8,2
23,2024-06-25 14:22:45+00,Mountain Explorer Adventure Shirt,"Take on the mountains with this adventure-themed tee, celebrating the spirit of exploration.",https://i.imgur.com/sC0ztOB.jpeg,20.99,7,2.2,2
24,2024-08-30 17:00:30+00,Dystopian Echoes Graphic Tee,"Echo the dystopian narrative with this thought-provoking graphic tee, perfect for expressing unique perspectives.",https://i.imgur.com/Ald3Rec.jpeg,28.99,8,4.5,2
25,2024-10-15 22:10:15+00,Whimsy Wildlife Sketch Tee,"Capture the essence of wildlife with this sketch-inspired tee, featuring whimsical and artistic animal motifs.",https://i.imgur.com/G4f21Ai.jpeg,17.99,5,1.2,2
26,2024-12-22 08:35:00+00,Digital Dreamscape Pixel Tee,"Dive into a digital dreamscape with this pixelated tee, blurring the lines between reality and imagination.",https://i.imgur.com/jByJ4ih.jpeg,25.99,6,3.2,2
27,2025-02-28 13:52:45+00,Glowing Radiance Cleanser,"Start your skincare routine right with this gentle cleanser, leaving your skin refreshed and radiant.",https://i.imgur.com/Ex5x3IU.jpg,18.99,9,2,3
28,2025-04-10 16:20:30+00,Silky Smooth Moisturizer,"Lock in hydration with this luxurious moisturizer, providing a silky smooth finish to your skin.",https://i.imgur.com/sC0ztOB.jpeg,24.99,9,3.5,3
29,2025-06-18 09:45:15+00,Flawless Foundation,"Achieve a flawless look with this foundation, offering long-lasting coverage and a natural finish.",https://i.imgur.com/Ro5z6Tn.jpeg,29.99,11,4,3
30,2025-08-25 14:00:00+00,Relaxing Lavender Bath Salts,"Indulge in a relaxing bath experience with these lavender-infused bath salts, promoting tranquility.",https://i.imgur.com/umfnS9P.jpeg,12.99,12,1.2,3
31,2023-05-05 12:30:30+00,Sun-Kissed Sunscreen SPF 50,"Protect your skin from harmful rays with this high SPF sunscreen, leaving you sun-kissed and shielded.",https://i.imgur.com/dV4Nklf.jpeg,15.99,13,2,3
32,2023-07-12 16:45:15+00,Revitalizing Serum,"Revitalize your skin with this potent serum, packed with nourishing ingredients for a youthful glow.",https://i.imgur.com/KXj6Tpb.jpeg,27.99,9,3.2,3
33,2023-09-19 08:10:45+00,Luscious Locks Shampoo,"Transform your hair with this nourishing shampoo, leaving your locks luscious and healthy.",https://i.imgur.com/G4f21Ai.jpeg,22.99,10,2.5,3
34,2023-11-25 10:22:00+00,Sculpted Beauty Lipstick,Add a touch of sculpted beauty to your lips with this rich and vibrant lipstick.,https://i.imgur.com/yb9UQKL.jpeg,14.99,11,1.8,3
35,2024-01-30 18:40:30+00,Citrus Burst Shower Gel,Elevate your shower experience with the invigorating scent of citrus burst shower gel.,https://i.imgur.com/umfnS9P.jpeg,9.99,12,1,3
36,2024-04-08 21:05:15+00,Hydrating Hair Conditioner,"Restore moisture to your hair with this hydrating conditioner, leaving your locks soft and manageable.",https://i.imgur.com/HqYqLnW.jpeg,19.99,10,2.2,3
37,2024-06-15 14:30:00+00,Dramatic Eyes Eyeshadow Palette,Create dramatic eye looks with this versatile eyeshadow palette featuring a range of stunning shades.,https://i.imgur.com/F8vhnFJ.jpeg,32.99,11,5,3
38,2024-08-22 17:42:45+00,Soothing Lavender Body Lotion,"Wrap your body in soothing lavender with this luxurious body lotion, promoting relaxation.",https://i.imgur.com/XVp8T1I.jpeg,16.99,12,1.5,3
39,2024-10-28 09:00:30+00,After-Sun Cooling Gel,Soothe and cool your skin after sun exposure with this refreshing after-sun cooling gel.,https://i.imgur.com/Ald3Rec.jpeg,13.99,13,1.5,3
40,2024-12-05 12:15:15+00,Firming Anti-Aging Cream,"Combat signs of aging with this firming anti-aging cream, leaving your skin feeling rejuvenated.",https://i.imgur.com/KDCZxnJ.jpeg,29.99,9,4.5,3
41,2025-02-10 08:40:00+00,Volume Boost Styling Mousse,"Give your hair a volume boost with this lightweight styling mousse, perfect for styling and shaping.",https://i.imgur.com/SolkFEB.jpeg,18.99,10,2.5,3
42,2025-04-18 11:55:45+00,Charming Cheeks Blush,"Add a charming touch to your cheeks with this radiant blush, enhancing your natural glow.",https://i.imgur.com/cQeXQMi.jpeg,21.99,11,2.8,3
43,2025-06-25 15:20:30+00,Detoxifying Charcoal Body Scrub,"Revitalize your skin with this detoxifying charcoal body scrub, leaving it smooth and renewed.",https://i.imgur.com/qa0O6fg.jpeg,26.99,12,3.2,3
44,2025-08-02 18:45:15+00,Water-Resistant Sport Sunscreen,"Stay protected during outdoor activities with this water-resistant sport sunscreen, ideal for active lifestyles.",https://i.imgur.com/LGk9Jn2.jpeg,17.99,13,2,3
45,2023-06-10 09:30:30+00,Hydration Infusion Face Mask,"Infuse your skin with hydration using this nourishing face mask, leaving your face refreshed and glowing.",https://i.imgur.com/mcW42Gi.jpeg,14.99,9,1.8,3
46,2023-08-18 14:45:15+00,Curl Defining Hair Gel,"Define your curls with this curl-defining hair gel, leaving your hair frizz-free and beautifully shaped.",https://i.imgur.com/zPU3EVa.jpeg,23.99,10,3,3
47,2023-10-25 08:10:45+00,All-Day Matte Liquid Lipstick,"Achieve an all-day matte look with this liquid lipstick, offering intense color and a non-drying formula.",https://i.imgur.com/KXj6Tpb.jpeg,19.99,11,2.2,3
48,2023-12-30 10:22:00+00,Exotic Rose Bath Bomb Set,"Indulge in an exotic bath experience with this rose-scented bath bomb set, perfect for a spa-like retreat.",https://i.imgur.com/mcW42Gi.jpeg,28.99,12,4,3
49,2024-03-07 18:40:30+00,Refreshing Aloe Vera Gel,Experience the refreshing benefits of aloe vera with this soothing and hydrating gel.,https://i.imgur.com/dJjpEgG.jpeg,12.99,13,1.2,3
